,sequence_length,gc_content,at_content,unique_4mers
Dengue_virus_1,10735,0.4666977177456917,0.5333022822543083,5
Dengue_virus_2,10735,0.4666977177456917,0.5333022822543083,5
Dengue_virus_3,10735,0.4666977177456917,0.5333022822543083,5
Dengue_virus_4,10735,0.4666977177456917,0.5333022822543083,5
HIV_1,9181,0.4211959481537959,0.5788040518462041,5
HIV_2,9181,0.4211959481537959,0.5788040518462041,5
SARS_CoV_2,29903,0.3797277865097147,0.6202722134902853,5
SARS_CoV_1,29903,0.3797277865097147,0.6202722134902853,5
Zika_virus,10735,0.4666977177456917,0.5333022822543083,5
West_Nile_virus,10735,0.4666977177456917,0.5333022822543083,5
